+1.00000000000000000000e+01 -1.09548707941731130000e+00 -2.52501761916469340000e+00
+3.00000000000000000000e+01 -2.10172085636521850000e+00 -4.55675653815846900000e+00
+1.00000000000000000000e+02 -3.16721220828924300000e+00 -6.68963979424612700000e+00
+3.00000000000000000000e+02 -4.12720203170272700000e+00 -8.60977855133681500000e+00
+1.00000000000000000000e+03 -5.17498142096547650000e+00 -1.07053724459073010000e+01
+3.00000000000000000000e+03 -6.12980257217626000000e+00 -1.26201982373827060000e+01
+1.00000000000000000000e+04 -7.17576268680603700000e+00 -1.47364482639449150000e+01
+3.00000000000000000000e+04 -8.13006311159125200000e+00 -1.55493616205877700000e+01
+1.00000000000000000000e+05 -9.17584111172668000000e+00 -1.52483316249237900000e+01
+3.00000000000000000000e+05 -1.01300917069199570000e+01 -1.53732703615320900000e+01
+1.00000000000000000000e+06 -1.11758611426198960000e+01 -1.53732703615320900000e+01
+3.00000000000000000000e+06 -1.21303150434836110000e+01 -1.58503916162517520000e+01
+1.00000000000000000000e+07 -1.31782937583160340000e+01 -1.53732703615320900000e+01
+3.00000000000000000000e+07 -1.41428214401538150000e+01 -1.55493616205877700000e+01
+1.00000000000000000000e+08 -1.44886637802341590000e+01 -1.45493616205877700000e+01
+3.00000000000000000000e+08 -1.53732703615320900000e+01 -1.53732703615320900000e+01
+1.00000000000000000000e+09 -1.55493616205877700000e+01 -1.55493616205877700000e+01
