+1.00000000000000000000e+01 -1.09548707941730570000e+00 -2.52501761916455000000e+00
+3.00000000000000000000e+01 -2.10172085636511800000e+00 -4.55675653814300800000e+00
+1.00000000000000000000e+02 -3.16721220828906300000e+00 -6.68963979184661800000e+00
+3.00000000000000000000e+02 -4.12720203169122700000e+00 -8.60977830177903000000e+00
+1.00000000000000000000e+03 -5.17498142093796700000e+00 -1.07053444565029920000e+01
+3.00000000000000000000e+03 -6.12980257209361900000e+00 -1.26186672329232370000e+01
+1.00000000000000000000e+04 -7.17576267578210200000e+00 -1.43318776763738640000e+01
+3.00000000000000000000e+04 -8.13006307024598700000e+00 -1.60000000000000000000e+01
+1.00000000000000000000e+05 -9.17584184678900000000e+00 -1.55493616205877700000e+01
+3.00000000000000000000e+05 -1.01300478802616300000e+01 -1.45716380152989230000e+01
+1.00000000000000000000e+06 -1.11745125006311350000e+01 -1.40442116422678640000e+01
+3.00000000000000000000e+06 -1.21255425286223670000e+01 -1.41100289267575080000e+01
+1.00000000000000000000e+07 -1.35220120128130150000e+01 -1.45716380152989230000e+01
+3.00000000000000000000e+07 -1.30249654984839300000e+01 -1.29235349073020600000e+01
+1.00000000000000000000e+08 -1.27976976743267840000e+01 -1.42821898921847570000e+01
+3.00000000000000000000e+08 -1.31866906908621040000e+01 -1.31866906908621040000e+01
+1.00000000000000000000e+09 -1.27833207602063830000e+01 -1.27833207602063830000e+01
