+1.00000000000000000000e+01 +8.02625439219072200000e-02 +2.98526150551920370000e-03
+3.00000000000000000000e+01 +7.91187001609140400000e-03 +2.77487524061042500000e-05
+1.00000000000000000000e+02 +6.80436797222129200000e-04 +2.04343208344372050000e-07
+3.00000000000000000000e+02 +7.46101594798806300000e-05 +2.45596273635222400000e-09
+1.00000000000000000000e+03 +6.68372509677609100000e-06 +1.97095773668035980000e-11
+3.00000000000000000000e+03 +7.41647317602022600000e-07 +2.41608463843846530000e-13
+1.00000000000000000000e+04 +6.67171163991392500000e-08 +6.91519551889514000000e-15
+3.00000000000000000000e+04 +7.41202959557105000000e-09 +3.81041385735038300000e-15
+1.00000000000000000000e+05 +6.67066009270309100000e-10 +3.10478166154475650000e-15
+3.00000000000000000000e+05 +7.41126906519041100000e-11 +1.65117933818516600000e-14
+1.00000000000000000000e+06 +6.63703530730856200000e-12 +5.32046675637442400000e-14
+3.00000000000000000000e+06 +7.78735691291089400000e-13 +9.52603464337595800000e-14
+1.00000000000000000000e+07 +1.99976164291314550000e-13 +1.54533450881432200000e-13
+3.00000000000000000000e+07 +2.93966372772624000000e-13 +8.59460014491253000000e-14
+1.00000000000000000000e+08 +6.24202240409657200000e-13 +2.25661176218639360000e-13
+3.00000000000000000000e+08 +1.10883043248896150000e-12 +1.10883043248896150000e-12
+1.00000000000000000000e+09 +2.08909467890213800000e-12 +2.08909467890213800000e-12
